"longitude","latitude"
-84.182955,33.810942
-84.182462,33.810927
-84.182449,33.810819
-84.182429,33.810499
-84.182439,33.810389
-84.18246,33.810279
-84.182499,33.810189
-84.182619,33.81001
-84.184519,33.80829
-84.185469,33.807429
-84.187109,33.806159
-84.18795,33.80558
-84.18944,33.80475
-84.18956,33.80469
-84.190349,33.80428
-84.19209,33.80337
-84.193469,33.80254
-84.193799,33.802349
-84.195589,33.80104
-84.19605,33.80077
-84.196259,33.80067
-84.19684,33.80044
-84.19747,33.80029
-84.19838,33.80019
-84.1993,33.80025
-84.20217,33.800739
-84.203329,33.80094
-84.204469,33.801129
-84.20527,33.801179
-84.20765,33.801069
-84.211329,33.80084
-84.21418,33.80063
-84.21439,33.80061
-84.21533,33.80039
-84.215559,33.80032
-84.2186,33.79946
-84.219889,33.79911
-84.22076,33.79887
-84.22133,33.79864
-84.221779,33.79846
-84.22269,33.798
-84.22347,33.79753
-84.22359,33.79745
-84.223979,33.79717
-84.2248,33.79648
-84.22556,33.795719
-84.22632,33.794909
-84.22655,33.79462
-84.229559,33.791359
-84.231939,33.78876
-84.232369,33.7883
-84.233829,33.78669
-84.234149,33.786399
-84.236079,33.78403
-84.237085,33.782635
-84.237829,33.781569
-84.23915,33.779669
-84.23946,33.77929
-84.239739,33.779069
-84.241299,33.778269
-84.24347,33.777254
-84.244329,33.776869
-84.245339,33.77633
-84.24642,33.775619
-84.24824,33.773819
-84.248659,33.77327
-84.249179,33.772459
-84.249419,33.77206
-84.249939,33.77196
-84.25064,33.771819
-84.251079,33.771757
-84.251111,33.772079
-84.251163,33.772156
-84.252375,33.772414
