"longitude","latitude"
-84.450519,33.81886
-84.45353,33.820549
-84.45412,33.820859
-84.454109,33.821019
-84.454069,33.82116
-84.45115,33.820589
-84.450109,33.82038
-84.44919,33.82023
-84.44884,33.820219
-84.44865,33.820239
-84.448289,33.82031
-84.44811,33.8204
-84.44739,33.82101
-84.44672,33.821819
-84.44649,33.822049
-84.44626,33.822229
-84.44606,33.822319
-84.44575,33.822359
-84.445369,33.822289
-84.44444,33.82191
-84.44427,33.821879
-84.444059,33.821859
-84.44353,33.821929
-84.442189,33.82224
-84.44189,33.822289
-84.44076,33.822269
-84.440059,33.82218
-84.43972,33.822109
-84.438389,33.821609
-84.43732,33.82122
-84.43705,33.82109
-84.43635,33.82052
-84.43615,33.820389
-84.435829,33.820279
-84.435029,33.82013
-84.43469,33.820019
-84.43379,33.819569
-84.433259,33.819259
-84.432969,33.819049
-84.432789,33.818889
-84.43266,33.818699
-84.432069,33.817509
-84.431845,33.81717
-84.43175,33.81705
-84.431329,33.816649
-84.4312,33.81648
-84.431149,33.816339
-84.431089,33.815669
-84.43103,33.815359
-84.43091,33.815089
-84.43069,33.814819
-84.43056,33.814699
-84.430309,33.814559
-84.430139,33.814519
-84.429339,33.814479
-84.429029,33.81444
-84.428419,33.81418
-84.42814,33.8141
-84.42777,33.814079
-84.42701,33.81412
-84.426589,33.814039
-84.426199,33.813839
-84.42582,33.813589
-84.42562,33.81336
-84.42555,33.81319
-84.425479,33.812829
-84.42549,33.812459
-84.425519,33.81235
-84.426179,33.811679
-84.42656,33.811309
-84.426729,33.811089
-84.42679,33.81096
-84.42689,33.81059
-84.426919,33.81038
-84.426919,33.81026
-84.42687,33.810019
-84.426779,33.80987
-84.42613,33.80937
-84.42512,33.808219
-84.425049,33.80808
-84.4249,33.80677
-84.42477,33.806289
-84.424499,33.80566
-84.42434,33.80539
-84.424229,33.805239
-84.424049,33.805069
-84.423779,33.804869
-84.4234,33.804749
-84.423229,33.80472
-84.422359,33.804769
-84.422279,33.804769
-84.421989,33.804729
-84.421769,33.804659
-84.42168,33.804579
-84.42161,33.804499
-84.421319,33.803759
-84.421169,33.80346
-84.42063,33.802649
-84.42044,33.80238
-84.42026,33.802179
-84.41997,33.80194
-84.41796,33.80059
-84.417829,33.800539
-84.417659,33.80049
-84.41751,33.80047
-84.413949,33.80041
-84.40952,33.8003
-84.40782,33.80028
-84.40784,33.799249
-84.40782,33.7986
-84.40782,33.798489
-84.40786,33.79392
-84.407889,33.79129
-84.40755,33.79131
-84.40704,33.7915
-84.40651,33.791649
-84.40632,33.791689
-84.40599,33.79168
-84.405779,33.791629
-84.405659,33.791589
-84.40542,33.791449
-84.405229,33.79127
-84.404399,33.7901
-84.404179,33.789889
-84.40392,33.789739
-84.403639,33.78963
-84.403419,33.789579
-84.402289,33.78957
-84.40197,33.789599
-84.401259,33.789779
-84.40064,33.7901
-84.40035,33.790299
-84.399889,33.79074
-84.39965,33.790929
-84.39953,33.790999
-84.399309,33.79109
-84.399069,33.791139
-84.39752,33.79115
-84.39448,33.791119
-84.39424,33.79113
-84.39383,33.791179
-84.39319,33.791199
-84.39284,33.79128
-84.392679,33.79133
-84.392499,33.79137
-84.39211,33.79146
-84.39159,33.7916
-84.390569,33.79185
-84.390159,33.79192
-84.389979,33.79193
-84.389669,33.79191
-84.389199,33.791819
-84.388699,33.791689
-84.388439,33.79166
-84.387939,33.791709
-84.38775,33.79187
-84.38635,33.7925
-84.385579,33.791339
-84.38516,33.79066
-84.385559,33.79047
-84.386549,33.79002
-84.38641,33.789499
-84.38623,33.78871
-84.386199,33.78838
-84.386729,33.78838
-84.387429,33.78852
-84.387425,33.789875
-84.387001,33.789893
